Product_Page,Product_Handle,Product_Title_HE,Product_ID,Product_Available,Price_Max,Price_Min,Published_At,Tags,Variant_Title,Variant_Available,Variant_Qty,Variant_Price,Variant_Currency,Published_Date,Published_Time,Tags_List
https://agilite.co.il/products/ag1-5-56-single-mag-pouch,ag1-5-56-single-mag-pouch,AG1™ - פונדת מחסנית מודולרית,8018936529181,True,119.0,106.0,2022-11-27 13:40:29+02:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",מולטיקם שחור,False,-1,119.0,ILS,2022-11-27,13:40:29,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag1-5-56-single-mag-pouch,ag1-5-56-single-mag-pouch,AG1™ - פונדת מחסנית מודולרית,8018936529181,True,119.0,106.0,2022-11-27 13:40:29+02:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",שחור,True,126,106.0,ILS,2022-11-27,13:40:29,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag3-5-56-triple-mag-pouch,ag3-5-56-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות מודולרית,8018936594717,True,234.0,229.0,2025-06-03 14:00:11+03:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",ירוק ריינג'ר,True,457,229.0,ILS,2025-06-03,14:00:11,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag3-5-56-triple-mag-pouch,ag3-5-56-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות מודולרית,8018936594717,True,234.0,229.0,2025-06-03 14:00:11+03:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",מולטיקם,False,0,234.0,ILS,2025-06-03,14:00:11,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag3-5-56-triple-mag-pouch,ag3-5-56-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות מודולרית,8018936594717,True,234.0,229.0,2025-06-03 14:00:11+03:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",מולטיקם שחור,False,0,234.0,ILS,2025-06-03,14:00:11,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag3-5-56-triple-mag-pouch,ag3-5-56-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות מודולרית,8018936594717,True,234.0,229.0,2025-06-03 14:00:11+03:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",שחור,True,41,229.0,ILS,2025-06-03,14:00:11,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag3-placard-triple-mag-pouch,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,8018935054621,True,259.0,239.0,2022-11-27 13:38:04+02:00,"Combat Gear, newone, SaleIL",ירוק ריינג'ר,True,106,259.0,ILS,2022-11-27,13:38:04,"['Combat Gear', 'newone', 'SaleIL']"
https://agilite.co.il/products/ag3-placard-triple-mag-pouch,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,8018935054621,True,259.0,239.0,2022-11-27 13:38:04+02:00,"Combat Gear, newone, SaleIL",מולטיקם,False,0,259.0,ILS,2022-11-27,13:38:04,"['Combat Gear', 'newone', 'SaleIL']"
https://agilite.co.il/products/ag3-placard-triple-mag-pouch,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,8018935054621,True,259.0,239.0,2022-11-27 13:38:04+02:00,"Combat Gear, newone, SaleIL",מולטיקם שחור,False,0,259.0,ILS,2022-11-27,13:38:04,"['Combat Gear', 'newone', 'SaleIL']"
https://agilite.co.il/products/ag3-placard-triple-mag-pouch,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,8018935054621,True,259.0,239.0,2022-11-27 13:38:04+02:00,"Combat Gear, newone, SaleIL",שחור,True,307,259.0,ILS,2022-11-27,13:38:04,"['Combat Gear', 'newone', 'SaleIL']"
https://agilite.co.il/products/ag3-placard-triple-mag-pouch,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,8018935054621,True,259.0,239.0,2022-11-27 13:38:04+02:00,"Combat Gear, newone, SaleIL",חום,False,0,239.0,ILS,2022-11-27,13:38:04,"['Combat Gear', 'newone', 'SaleIL']"
https://agilite.co.il/products/agilite-beanie,agilite-beanie,כובע גרב אג'ילייט,8804518134045,True,159.0,159.0,2023-10-23 15:07:38+03:00,SaleIL,Grey,True,0,159.0,ILS,2023-10-23,15:07:38,['SaleIL']
https://agilite.co.il/products/agilite-beanie,agilite-beanie,כובע גרב אג'ילייט,8804518134045,True,159.0,159.0,2023-10-23 15:07:38+03:00,SaleIL,Navy,True,7,159.0,ILS,2023-10-23,15:07:38,['SaleIL']
https://agilite.co.il/products/general-purpose-pouch,general-purpose-pouch,פאוץ' כללי מודולרי,8402082988317,True,209.0,209.0,2023-06-27 11:41:59+03:00,SaleIL,ירוק ריינג'ר,True,54,209.0,ILS,2023-06-27,11:41:59,['SaleIL']
https://agilite.co.il/products/general-purpose-pouch,general-purpose-pouch,פאוץ' כללי מודולרי,8402082988317,True,209.0,209.0,2023-06-27 11:41:59+03:00,SaleIL,מולטיקם,False,0,209.0,ILS,2023-06-27,11:41:59,['SaleIL']
https://agilite.co.il/products/general-purpose-pouch,general-purpose-pouch,פאוץ' כללי מודולרי,8402082988317,True,209.0,209.0,2023-06-27 11:41:59+03:00,SaleIL,שחור,True,138,209.0,ILS,2023-06-27,11:41:59,['SaleIL']
https://agilite.co.il/products/agilite-logo-patches,agilite-logo-patches,פאצ'ים לוגו אג'ילייט,8018938298653,False,23.9,23.9,2022-11-27 13:43:12+02:00,"accessories, apparel, everything, patches, SaleIL",Black,False,0,23.9,ILS,2022-11-27,13:43:12,"['accessories', 'apparel', 'everything', 'patches', 'SaleIL']"
https://agilite.co.il/products/agilite-logo-patches,agilite-logo-patches,פאצ'ים לוגו אג'ילייט,8018938298653,False,23.9,23.9,2022-11-27 13:43:12+02:00,"accessories, apparel, everything, patches, SaleIL",Coyote Tan,False,-2,23.9,ILS,2022-11-27,13:43:12,"['accessories', 'apparel', 'everything', 'patches', 'SaleIL']"
https://agilite.co.il/products/agilite-logo-patches,agilite-logo-patches,פאצ'ים לוגו אג'ילייט,8018938298653,False,23.9,23.9,2022-11-27 13:43:12+02:00,"accessories, apparel, everything, patches, SaleIL",Ranger Green,False,-2,23.9,ILS,2022-11-27,13:43:12,"['accessories', 'apparel', 'everything', 'patches', 'SaleIL']"
